policeTerror,longitude,latitude
policeTerror,71.076543,36.781832
policeTerror,71.076543,36.781832
policeTerror,70.785125,34.265501
policeTerror,64.525269,35.834333
policeTerror,34.240191,31.280267
policeTerror,49.258056,10.923333
policeTerror,71.076543,36.781832
policeTerror,70.158056,32.115
policeTerror,83.89,20.428889
policeTerror,65.701513,31.618212
policeTerror,44.5225,33.236606
policeTerror,43.343897,33.450349
policeTerror,43.343897,33.450349
policeTerror,43.343897,33.450349
policeTerror,43.343897,33.450349
policeTerror,43.343897,33.450349
policeTerror,43.343897,33.450349
policeTerror,43.343897,33.450349
policeTerror,43.343897,33.450349
policeTerror,43.343897,33.450349
policeTerror,43.343897,33.450349
policeTerror,43.343897,33.450349
policeTerror,43.343897,33.450349
policeTerror,43.343897,33.450349
policeTerror,43.343897,33.450349
policeTerror,62.199194,34.340433
policeTerror,40.730296,36.515061
policeTerror,44.228944,17.565604
policeTerror,69.923725,33.336614
policeTerror,34.240191,31.280267
policeTerror,44.057988,34.814213
policeTerror,43.683333,34.6
policeTerror,45.340469,2.032623
policeTerror,66.301389,31.458333
policeTerror,68.942522,32.391988
policeTerror,68.882423,32.910299
policeTerror,70.211068,34.674256
policeTerror,67.130499,24.926295
policeTerror,68.190837,32.850819
policeTerror,33.803276,31.132093
policeTerror,70.772254,34.317813
policeTerror,71.538302,35.302047
policeTerror,70.182716,34.238695
policeTerror,64.525093,35.83363
policeTerror,64.506848,35.858679
policeTerror,64.518153,35.865178
policeTerror,33.803276,31.132093
policeTerror,33.803276,31.132093
policeTerror,44.521936,33.843044
policeTerror,74.836092,33.717003
policeTerror,31.927718,30.811078
policeTerror,31.896667,30.795
policeTerror,90.629295,25.846315
policeTerror,70.415278,32.358889
policeTerror,67.144762,24.882248
policeTerror,44.373779,33.664354
policeTerror,-8.566961,51.934359
policeTerror,50.616667,26.25
policeTerror,70.317778,34.368333
policeTerror,44.391944,33.251389
policeTerror,75.072066,33.827506
policeTerror,79.922211,37.114157
policeTerror,40.309667,0.053177
policeTerror,0,0
policeTerror,79.922211,37.114158
policeTerror,69.15269,34.535955
policeTerror,43.888433,34.124791
policeTerror,68.547073,35.914894
policeTerror,62.121463,32.376695
policeTerror,33.803276,31.132093
policeTerror,71.577624,34.004951
