govTerror,longitude,latitude
govTerror,66.712915,33.025068
govTerror,45.310382,2.041429
govTerror,70.100768,36.816574
govTerror,120.368592,16.729937
govTerror,42.826623,33.637651
govTerror,70.986575,35.183083
govTerror,44.363851,33.368141
govTerror,44.50868,2.715006
govTerror,70.891751,36.999475
govTerror,68.098635,34.936939
govTerror,29.997236,-2.596232
govTerror,31.18408,29.997609
govTerror,-6.91576,10.549933
govTerror,8.237705,4.807369
govTerror,44.491304,33.346826
govTerror,31.322709,30.090984
govTerror,34.110425,31.211645
govTerror,29.377297,-3.409668
govTerror,29.456063,-3.547515
govTerror,29.8938,-4.288882
govTerror,69.12347,34.530007
govTerror,70.808253,34.249954
govTerror,32.852264,39.919356
govTerror,8.237705,4.807369
govTerror,35.129808,49.451356
govTerror,74.746673,33.951609
govTerror,-3.665071,16.417521
govTerror,39.685004,-4.039418
govTerror,30.766713,50.052951
govTerror,22.639819,32.766785
govTerror,69.430782,36.537101
govTerror,69.344652,35.138052
govTerror,45.338594,2.033343
govTerror,124.476389,6.867985
govTerror,-3.664859,16.417596
govTerror,7.699986,11.066584
govTerror,69.201495,34.551511
govTerror,121.01668,15.353113
govTerror,45.116688,2.142651
govTerror,44.400231,33.408957
govTerror,65.286357,34.52366
govTerror,29.496269,0.649451
govTerror,44.021944,13.578889
govTerror,84.025986,24.014978
govTerror,84.025986,24.014978
govTerror,86.070989,24.013591
govTerror,124.485801,7.000163
govTerror,14.22506,12.377705
govTerror,31.266307,30.093718
govTerror,43.651751,3.114224
govTerror,69.451639,37.382557
govTerror,22.720776,48.441418
govTerror,45.273593,2.02886
govTerror,68.709536,35.943802
govTerror,62.121403,32.37662
govTerror,-71.904565,-13.918219
govTerror,3.34824,7.160697
govTerror,44.358056,33.394444
govTerror,74.835984,33.71787
govTerror,71.683333,29.395721
govTerror,122.120277,6.497901
govTerror,71.657202,34.021354
govTerror,24.663825,14.202517
govTerror,73.732776,15.800344
govTerror,46.716667,24.633333
govTerror,44.513388,33.392997
govTerror,62.121403,32.37662
govTerror,76.991259,28.606601
govTerror,14.831348,5.804663
govTerror,14.831348,5.804663
govTerror,85.205689,27.88852
govTerror,124.896398,6.875088
govTerror,44.547048,33.570568
govTerror,68.95694,34.591139
govTerror,66.450959,30.907255
govTerror,86.897382,26.40305
govTerror,124.23738,7.199553
govTerror,44.58135,33.100569
govTerror,24.044116,12.961401
govTerror,66.127715,32.938276
govTerror,64.5333,35.8464
govTerror,44.363473,33.366689
govTerror,44.460661,33.324234
govTerror,84.378076,24.746682
govTerror,68.913371,37.182579
govTerror,0,0
govTerror,41.265824,39.905499
govTerror,85.963303,23.665982
govTerror,45.339971,2.037408
govTerror,45.287856,2.029865
govTerror,17.285147,31.052821
govTerror,73.093146,33.729388
govTerror,44.331227,33.333465
govTerror,44.597833,33.754053
govTerror,45.304763,2.022389
govTerror,85.21241,24.246077
govTerror,13.651241,51.000867
govTerror,34.240191,31.280267
govTerror,37.814722,47.095103
govTerror,38.291868,34.569424
govTerror,45.116675,2.142598
govTerror,6.10897,4.973087
govTerror,69.168889,35.013056
govTerror,123.436011,7.824157
govTerror,122.166574,6.533898
govTerror,31.443433,30.753697
govTerror,35.069003,32.849467
govTerror,27.998528,7.699508
govTerror,7.45735,5.154121
govTerror,44.696111,1.808148
govTerror,123.524934,12.381842
govTerror,69.098513,34.214813
govTerror,71.376849,33.996736
govTerror,-78.792429,1.659604
govTerror,101.661293,6.068226
govTerror,45.329722,2.027446
govTerror,44.495429,33.357917
govTerror,73.087963,33.632456
govTerror,11.335048,11.640027
govTerror,65.05035,32.267056
govTerror,65.614803,27.756747
govTerror,44.4,33.3
govTerror,-4.094176,14.527126
govTerror,69.174886,34.527578
govTerror,122.791793,13.820728
govTerror,34.239506,31.279946
govTerror,18.552953,4.388384
govTerror,37.808211,48.011886
govTerror,44.205385,15.353811
govTerror,44.583139,33.100298
govTerror,29.046583,41.118211
govTerror,67.165775,32.228473
govTerror,43.611573,37.24705
govTerror,64.567871,31.829242
govTerror,46.133053,13.674095
govTerror,9.605897,7.506446
govTerror,66.908203,32.104789
govTerror,41.213344,37.070876
govTerror,124.245484,7.208959
govTerror,70.815835,37.200558
govTerror,80.721442,18.860831
govTerror,81.923593,19.186766
govTerror,80.709835,18.875916
govTerror,124.676801,7.057721
govTerror,44.010392,32.606846
govTerror,123.436011,7.824157
govTerror,61.198836,34.654576
govTerror,88.624135,24.363589
govTerror,70.33105,36.460389
govTerror,67.037402,30.18897
govTerror,30.842129,29.312292
govTerror,125.321819,8.091583
govTerror,72.379948,33.924563
govTerror,44.065556,33.291944
govTerror,44.506622,33.314009
govTerror,45.019734,12.785497
govTerror,69.168091,34.535462
govTerror,65.739091,36.664872
govTerror,71.521115,34.730041
govTerror,67.06939,24.882452
govTerror,65.752827,36.667586
govTerror,29.000459,41.039164
govTerror,45.019734,12.790059
govTerror,90.41782,23.717351
govTerror,44.983708,12.785338
govTerror,31.251714,30.122724
govTerror,65.881734,32.628464
govTerror,85.325629,23.368097
govTerror,44.010392,13.574698
govTerror,28.395056,4.575553
govTerror,64.293133,35.687393
govTerror,1.150137,15.769755
govTerror,44.983678,12.787191
govTerror,93.777131,24.385399
govTerror,83.205006,22.023614
govTerror,75.027034,33.851332
govTerror,44.319171,38.498095
govTerror,41.919647,32.559762
govTerror,41.919647,32.559762
govTerror,41.919647,32.559762
govTerror,64.465371,35.562483
govTerror,49.124202,14.538975
govTerror,44.4,33.3
govTerror,44.4,33.3
govTerror,29.793292,8.903059
govTerror,29.793292,8.903059
govTerror,70.498676,34.463789
govTerror,123.30307,7.836483
govTerror,42.233889,3.516944
govTerror,63.033546,26.005312
govTerror,45.022288,14.356796
govTerror,62.189709,34.97002
govTerror,6.171943,7.420306
govTerror,67.128416,24.929365
govTerror,68.95675,34.590942
govTerror,124.23745,7.221007
govTerror,25.325382,50.746932
govTerror,66.134406,32.930197
govTerror,44.491304,33.346826
govTerror,40.284444,33.038056
govTerror,0,0
govTerror,44.633333,33.75
govTerror,122.582514,7.761796
govTerror,44.276323,33.341954
govTerror,13.191338,32.887209
govTerror,45.033174,12.800018
govTerror,70.403091,34.41132
govTerror,65.711615,31.617023
govTerror,93.696489,24.342235
govTerror,93.696489,24.342235
govTerror,93.696489,24.342235
govTerror,93.696489,24.342235
govTerror,93.696489,24.342235
govTerror,93.696489,24.342235
govTerror,93.696489,24.342235
govTerror,93.696489,24.342235
govTerror,93.696489,24.342235
govTerror,35.360005,46.853305
govTerror,44.399968,33.422418
govTerror,71.382818,34.001644
govTerror,68.713696,35.944668
govTerror,44.327619,33.245284
govTerror,39.494034,48.54897
govTerror,80.286918,19.49453
govTerror,80.374056,20.488022
govTerror,80.337527,20.023916
govTerror,63.907029,34.360031
govTerror,44.583119,33.100326
govTerror,43.766472,35.324176
govTerror,86.7571,26.542321
govTerror,86.7571,26.542321
govTerror,-73.354232,8.25205
govTerror,44.318517,33.355478
govTerror,26.25193,50.619294
govTerror,125.0574,7.323202
govTerror,70.682533,37.420874
govTerror,70.703451,33.486854
govTerror,74.298534,31.535661
govTerror,72.020012,34.764244
govTerror,122.590922,7.773448
govTerror,43.491145,34.931046
govTerror,71.890463,33.823206
govTerror,125.0574,7.323202
govTerror,29.466667,-8.058201
govTerror,44.405728,33.387412
